id,TicketNumber,Client,Staff,Source,Title,Resolution,HelpTopic,DataOn,DueDate,ClosedDate,ModifiedDate,KYC
1,IT105234,User,ITSupport,Email,Account got locked because of 3 wrong attempts os password. Could you please reset the password,Unlocked the account and new password is sent to your email id.,Access Requests,15-12-2015 18:12,NULL,15-12-2015 20:53,15-12-2015 18:12,YYY
2,IT1058764,User,ITSupport,Email,Account locked. Not able to login,Unlocked the account and new password is sent to your email id.,Access Requests,15-12-2015 18:12,NULL,15-12-2015 20:53,15-12-2015 18:12,YYY
3,IT921345,User,ITSupport,Web,Computer is not getting switched on,Contact IT support.,Hardware Issue,6/24/2016 14:30,NULL,7/28/2016 18:55,6/24/2016 14:30,YY
4,IT807771,User,ITSupport,Email,Configure outlook in my system,IT Team has sent the instructions to configure outlook -follow the instructions onÿhttps://ticket.abc.com/kb/faq.phpÿand click on O365 and solution and then outlook configuration for your machines,Email Services,2/15/2016 17:47,NULL,2/15/2016 17:48,2/15/2016 17:47,YY
5,IT581693,User,ITSupport,Email,Creation of mail id for new Joinee ,IT Team has Created the mail Id and sent the details in separate email.,Newhire Accounts,12/9/2015 20:55,NULL,12/10/2015 13:19,12/9/2015 20:55,YY
6,IT380020,User,ITSupport,Email,Desktop not working,Please check the Power cables are properly plugged  Please write back to us if the Problem still persists.,Hardware Issue,12/31/2015 11:51,NULL,1/4/2016 13:11,12/31/2015 11:51,YY
7,IT123405,User,ITSupport,Email,Facing network/internet issue with wifi xwq090,Go to network tab from bottom right corner choose inn001 network click on connect,Access Requests,8/7/2016 10:00,NULL,8/7/2016 11:50,8/7/2016 10:00,YYY
8,IT241588,User,ITSupport,Email,File Import Error,File size is too large ,Access Requests,5/5/2017 12:34,NULL,5/5/2017 13:27,5/5/2017 13:00,N
9,IT107019,User,ITSupport,Email,Forgot the password can you please reset the password for me.,Go to URL : password.reset.com Enter you login id enter password received reset the password,Access Requests,15-12-2015 18:12,NULL,15-12-2015 20:53,15-12-2015 18:12,YYY
10,IT198749,User,ITSupport,Email,I can not login using my license key ,We cannot give two licenses assigned on single account hence we have given only AD access.<br /><br />,Access Requests,23-02-2016 11:38,NULL,23-02-2016 12:21,23-02-2016 12:21,N
11,IT328378,User,ITSupport,Email,I have not yet received my order,order placed from procurement team delivery is under process.,Accessories,8/11/2017 18:41,NULL,28-11-2017 13:14,16-11-2017 12:20,N
12,IT221367,User,ITSupport,Web,Install Microsoft outlook,Installed micrsoft outlook on your machine and closing the ticket,Software Request,19-01-2016 13:14,NULL,19-01-2016 17:30,19-01-2016 13:14,YYY
13,IT191390,User,ITSupport,Web,install MS office,Please login to web mail and go to settings -office 365 -install applications- download and install MS office for your machine.,Software Installation & Configuration,1/5/2016 23:27,NULL,1/6/2016 13:15,1/6/2016 13:15,YY
14,IT098755,User,ITSupport,Email,Install postgres database on my machine,Go to \imfs\software\postgres location copy postgresql database into local and install,Software Request,19-01-2016 13:14,NULL,19-01-2016 17:30,19-01-2016 13:14,YYY
15,IT937463,User,ITSupport,Email,Jira project creation and user permission,"IT Team created New Project in Jira and shared details with you in separate mail. 
Please pass the details to the concerned users individually know if there are any issues/requirements URL:https://jira.abc.com Project Name: P3DataSystemsKey",Jira Requests,12/16/2015 14:30,NULL,12/16/2015 20:33,12/16/2015 20:33,YY
16,IT197098,User,ITSupport,Web,LAN not working in a VM,changed network settings to Bridged and configured network in VM.,Network & Wireless,3/31/2016 11:54,NULL,3/31/2016 19:08,3/31/2016 19:08,YY
17,IT112989,User,ITSupport,Email,Linux VM for Azuba project,IT Team has created VM as per your requirement and configured accordingly and sent the login details in a separate mail.,Data Center Services /VM Request,1/8/2016 14:16,NULL,1/28/2016 12:38,1/8/2016 14:16,YY
18,IT106071,User,ITSupport,Email,Login credetials are not working says username or password wrong.,Password got expired. New password is sent to your email id,Access Requests,15-12-2015 18:12,NULL,15-12-2015 20:53,15-12-2015 18:12,YYY
19,IT2432345,User,ITSupport,Web,Login Page Down,Login server was down. It is up now. Please check.,Access Requests,10/12/2015 17:46,NULL,11/12/2015 12:26,10/12/2015 17:46,YYY
20,IT243167,User,ITSupport,Web,Login Page is not getting displayed,Login server was down. It is up now. Please check.,Access Requests,10/12/2015 17:46,NULL,11/12/2015 12:26,10/12/2015 17:46,YYY
21,IT243345,User,ITSupport,Web,Login Page not opening,Login server was down. It is up now. Please check.,Access Requests,10/12/2015 17:46,NULL,11/12/2015 12:26,10/12/2015 17:46,YYY
22,IT425503,User,ITSupport,Email,Mailbox is full ,"IT Team has sent the instructions to cleanup the maibox and archieve mails https://ticket.abc.com/kb/faq.phpÿand click on O365 issues and then Mail box full
",Email Services,12/21/2015 11:18,NULL,12/21/2015 12:01,12/21/2015 11:18,YY
23,IT138092,User,ITSupport,Email,My Internet is not working,Go to network tab from bottom right corner choose inn001 network click on connect,Network,20-12-2017 21:42,NULL,20-12-2017 21:54,20-12-2017 21:42,YYY
24,IT116795,User,ITSupport,Email,My Space QA application is down,We regret for the inconvinience caused. The issue is with Host server which got rebooted due to a power failure.,Data Center Services /Report VM issue,12/14/2015 12:24,NULL,12/14/2015 14:57,12/14/2015 12:24,YY
25,IT666290,User,ITSupport,Email,MySpace Password Expiry,Please reset the passowrd using self service Portal http://ssp.abc.com Please write back to us if you face any issue.,Password Reset,12/28/2015 14:43,NULL,12/28/2015 15:03,12/28/2015 14:43,YY
26,IT577869,User,ITSupport,Email,Need abc FTP Server Details,IT team has sent the FTP credentials to your email separately. Marking the ticket as closed.,Network & Wireless,10/2/2016 18:05,NULL,10/2/2016 18:46,10/2/2016 18:46,YY
27,IT236278,User,ITSupport,Email,Need administration acess for installing softwares in my system,admin access is provided for 24 hours,Access Requests,23-02-2016 11:30,NULL,23-02-2016 12:19,23-02-2016 11:30,N
28,IT313303,User,ITSupport,Email,Need Wave rock VPN,"IT team has provided VPN access. 
Please follow the instructions onÿhttps://ticket.abc.com/kb/faq.phpÿand click on Network Issues and solution and then select SSLVPN configuration for your machines",VPN access,10/12/2015 13:49,NULL,10/12/2015 17:15,10/12/2015 13:49,YY
29,IT771305,User,ITSupport,Email,Need Wifi Access Approval,Not approved by manager hence closing this ticket.,Network & Wireless,1/21/2016 13:24,NULL,1/22/2016 12:55,1/22/2016 12:55,YY
30,IT535903,User,ITSupport,Email,Needs permission wifi access to laptop,First connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access,Network & Wireless,4/1/2016 18:38,NULL,4/1/2016 18:59,4/1/2016 18:59,YY
31,IT647313,User,ITSupport,Email,New Account is needed for a new joinee.,Go to URL : accountsetup.com Enter personal details along with user id enter OTP received click finish. Check email for details.,Access Requests,14-01-2016 11:17,NULL,14-01-2016 11:22,14-01-2016 11:17,YYY
32,IT873202,User,ITSupport,Email,Not able to proceed further in ticket.abc.com after logging in,Resolved. Please check the same now.,Access Requests,19-01-2016 13:14,NULL,19-01-2016 17:30,19-01-2016 13:14,YYY
33,IT221755,User,ITSupport,Email,Password expired.,Go to URL : password.reset.com Enter you login id enter password received reset the password,Access Requests,17-12-2015 12:12,NULL,17-12-2015 17:12,17-12-2015 12:12,YYY
34,IT244010,User,ITSupport,Email,Provide me the admin privileges to install mysql database,Granted admin privileges to install It will get revoked in 24hrs.,Access Requests,19-01-2016 13:14,NULL,19-01-2016 17:30,19-01-2016 13:14,YYY
35,IT875519,User,ITSupport,Email,Public IP Address for Coffee House project ,IT Team has Assigned public IP to the host. IP Address is: 115.111.91.10,Data Center Services,3/2/2016 14:07,NULL,3/2/2016 18:09,3/2/2016 14:07,YY
36,IT258300,User,ITSupport,Email,Re: Unable to access outlook and myspace [user id: sdash],We have reset the password and communicated to user in a mail already now user is able to login. Hence marking the ticket resolved,Access Requests,19-01-2016 17:23,NULL,20-01-2016 11:05,19-01-2016 17:23,YYY
37,IT969105,User,ITSupport,Email,Removing Person A and Adding Person B to ABC Project,Changes have been done as per the request. Hence closing the request.,Access Requests,3/2/2016 14:43,NULL,3/2/2016 16:04,3/2/2016 14:43,YYY
38,IT921839,User,ITSupport,Web,Replace the battery for my Macbook laptop,Please run Battery Helath test and send us the results IT team will do the needful accordingly. Please follow the steps to cehck the battery Helath https://ticket.abc.com/kb/faq.phpÿHardware issue-Battery issue,Hardware Issue,6/24/2016 14:30,NULL,7/28/2016 18:55,6/24/2016 14:30,YY
39,IT375407,User,ITSupport,Email,Request to configure the system to share it among users,They won't be able to access other profiles if they login with their account. Please ask users to reach out to IT if they have any issues.,Access Requests,9/2/2016 20:51,NULL,10/2/2016 11:32,9/2/2016 20:51,YYY
40,IT724868,User,ITSupport,Email,server#11 got hanged and needed a restart,IT Team has restarted the server and its accessible now.,Data Center Services /Report VM issue,8/23/2016 18:24,NULL,8/23/2016 18:49,8/23/2016 18:24,YY
41,IT101203,User,ITSupport,Email,System behaving strangely blue screen is appearing in middle,Press F8 button on system start Choose safe mode if OS loads then restart the os if still same issue comes handover it to IT team,Hardware,20-04-2016 14:47,NULL,20-04-2016 14:59,20-04-2016 14:47,YYY
42,IT683005,User,ITSupport,Email,System hangs with blue screen on startup,Press F8 button on system start Choose safe mode if OS loads then restart the os if still same issue comes handover it to IT team,Access Requests,8/7/2016 10:00,NULL,8/7/2016 11:50,8/7/2016 10:00,YYY
43,IT391809,User,ITSupport,Email,System showing blue screen on startup,1. Hold the power button until system gets shut down then hit the power button to boot the machine. If still blue screen appears contact IT team and surrender the laptop.,Hardware,23-02-2016 15:48,NULL,23-02-2016 16:26,23-02-2016 15:48,YYY
44,IT529179,User,ITSupport,Email,Ticket Assigned to Anil Kumar Thanjavuru,Could you please look into this user request.,Access Requests,14-11-2016 14:14,NULL,2/2/2017 11:40,14-11-2016 14:48,N
45,IT234908,User,ITSupport,Email,Unable to connect to Internet,Go to network tab from bottom right corner choose inn001 network click on connect,Network,20-12-2017 21:42,NULL,20-12-2017 21:54,20-12-2017 21:42,YYY
46,IT535777,User,ITSupport,Email,Unable to connect to internet using wifi network inn009,inn009 is removed connect to inn001. Connect IT helpdesk if any more issues.,Network & Wireless,4/1/2016 18:38,NULL,4/1/2016 18:59,4/1/2016 18:59,YY
47,IT122303,User,ITSupport,Email,Unable to install outlook it is asking for admin access needed,Granted admin privileges to install It will get revoked in 24hrs.,Access Requests,19-01-2016 13:14,NULL,19-01-2016 17:30,19-01-2016 13:14,YYY
48,IT512346,User,ITSupport,Email,Wifi access needed.,First connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access,Network & Wireless,4/1/2016 18:38,NULL,4/1/2016 18:59,4/1/2016 18:59,YY
